Start time          	End time            	Activity	
2012-11-13 10:52:00		2012-11-13 13:41:59		Leaving
2012-11-13 13:47:00		2012-11-13 13:59:59		Snack
2012-11-13 14:05:00		2012-11-13 14:06:59		Toileting
2012-11-13 14:08:00		2012-11-13 14:42:59		Lunch
2012-11-13 14:43:00		2012-11-13 15:51:59		Spare_Time/TV
2012-11-13 16:07:00		2012-11-13 16:07:59		Toileting
2012-11-13 16:08:00		2012-11-13 16:33:59		Spare_Time/TV
2012-11-13 16:35:00		2012-11-13 17:31:59		Spare_Time/TV
2012-11-13 17:34:00		2012-11-13 17:36:59		Snack
2012-11-13 17:37:00		2012-11-13 18:48:59		Spare_Time/TV
2012-11-13 18:51:00		2012-11-13 19:13:59		Snack
2012-11-13 19:46:00		2012-11-13 19:47:59		Toileting
2012-11-13 19:52:00		2012-11-13 23:16:59		Spare_Time/TV
2012-11-13 23:17:00		2012-11-13 23:22:59	 	Dinner
2012-11-13 23:39:00		2012-11-13 23:40:59		Grooming
2012-11-13 23:45:00		2012-11-14 00:21:59		Spare_Time/TV
2012-11-14 00:27:00		2012-11-14 00:27:59		Grooming
2012-11-14 00:28:00		2012-11-14 00:29:59		Toileting
2012-11-14 00:29:00		2012-11-14 05:12:59		Sleeping
2012-11-14 05:15:00		2012-11-14 05:15:59		Grooming
2012-11-14 05:16:00		2012-11-14 09:01:59		Sleeping
2012-11-14 09:04:00		2012-11-14 09:05:59		Toileting
2012-11-14 09:06:00		2012-11-14 09:17:59		Breakfast
2012-11-14 09:22:00		2012-11-14 10:37:59		Spare_Time/TV
2012-11-14 10:38:00		2012-11-14 11:01:59		Breakfast
2012-11-14 11:07:00		2012-11-14 11:35:59		Spare_Time/TV
2012-11-14 11:47:00		2012-11-14 11:52:59		Grooming
2012-11-14 11:56:00		2012-11-14 11:58:59		Showering
2012-11-14 12:00:00		2012-11-14 12:08:59		Grooming
2012-11-14 12:21:00		2012-11-14 12:22:59		Grooming
2012-11-14 12:29:00		2012-11-14 12:52:59		Spare_Time/TV
2012-11-14 12:52:00		2012-11-14 12:54:59		Leaving
2012-11-14 12:57:00		2012-11-14 14:22:59		Leaving
2012-11-14 14:23:00		2012-11-14 14:23:59		Toileting
2012-11-14 14:24:00		2012-11-14 14:24:59		Grooming
2012-11-14 14:29:00		2012-11-14 15:49:59		Leaving
2012-11-14 15:58:00		2012-11-14 19:48:59		Spare_Time/TV
2012-11-14 20:11:00		2012-11-14 21:37:59		Spare_Time/TV
2012-11-14 21:37:00		2012-11-14 21:47:59	 	Dinner
2012-11-14 21:48:00		2012-11-14 22:14:59		Spare_Time/TV
2012-11-14 22:14:00		2012-11-14 22:17:59		Snack
2012-11-14 22:18:00		2012-11-14 23:06:59		Spare_Time/TV
2012-11-14 23:12:00		2012-11-15 00:06:59		Spare_Time/TV

